Titel;Album;Interpret;Jahr;;Titel;Album;Interpret;Jahr;;;;;
Yea! Heavy And A Bottle Of Bread;The Basement Tapes;Bob Dylan;1975;;Yea! Heavy And A Bottle Of Bread;The Basement Tapes;Bob Dylan;1975;;1;1;1;1
You Ain't Goin' Nowhere;The Basement Tapes;Bob Dylan;1975;;You Ain't Goin' Nowhere;The Basement Tapes;Bob Dylan;1975;;1;1;1;1
You Angel You;Planet Waves;Bob Dylan;1974;;You Angel You;Planet Waves;Bob Dylan;1974;;1;1;1;1
You Never Can Tell With Friends;Free As A Bird;Supertramp;1987;;You Never Can Tell With Friends;Free As A Bird;Supertramp;1987;;1;1;1;1
You Started Laughing (live);Paris;Supertramp;1980;;You Started Laughing;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;1;#NV;1;#NV
You Started Laughing;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;You Started Laughing (live);Paris;Supertramp;1980;;#NV;1;1;1
You Wanna Ramble;Knocked Out Loaded;Bob Dylan;1986;;You Wanna Ramble;Knocked Out Loaded;Bob Dylan;1986;;1;1;1;1
You Win I Lose (live);It Was The Best Of Times;Supertramp;1999;;You Win I Lose;Some Things Never Change;Supertramp;1997;;1;#NV;1;1
You Win I Lose;Some Things Never Change;Supertramp;1997;;You Win I Lose (live);It Was The Best Of Times;Supertramp;1999;;#NV;1;1;#NV
You Win, I Lose;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;You Win, I Lose;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;1;1;1;1
You're A Big Girl Now;Blood On The Tracks;Bob Dylan;1975;;Your Poppa Don't Mind;Indelibly Stamped;Supertramp;1971;;1;#NV;#NV;1
You're A Big Girl Now (live);Hard Rain;Bob Dylan;1976;;Your Poppa Don't Mind;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;1;#NV;#NV;#NV
You're Gonna Make Me Lonesome When You Go;Blood On The Tracks;Bob Dylan;1975;;You're A Big Girl Now;Blood On The Tracks;Bob Dylan;1975;;1;1;1;1
You're Gonna Quit Me;Good As I Been To You;Bob Dylan;1992;;You're A Big Girl Now (live);Hard Rain;Bob Dylan;1976;;1;#NV;1;1
Your Poppa Don't Mind;Indelibly Stamped;Supertramp;1971;;You're Gonna Make Me Lonesome When You Go;Blood On The Tracks;Bob Dylan;1975;;#NV;1;1;#NV
Your Poppa Don't Mind;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;You're Gonna Quit Me;Good As I Been To You;Bob Dylan;1992;;#NV;1;1;1
