Titel;Album;Interpret;Jahr;;Titel;Album;Interpret;Jahr;;;;;
Dirge;Planet Waves;Bob Dylan;1974;;Dirge;Planet Waves;Bob Dylan;1974;;1;1;1;1
Dirt Road Blues;Time Out Of Mind;Bob Dylan;1997;;Dirt Road Blues;Time Out Of Mind;Bob Dylan;1997;;1;1;1;1
Disease Of Conceit;Oh Mercy;Bob Dylan;1989;;Disease Of Conceit;Oh Mercy;Bob Dylan;1989;;1;1;1;1
Do Right To Me Baby;Slow Train Coming;Bob Dylan;1979;;Do Right To Me Baby;Slow Train Coming;Bob Dylan;1979;;1;1;1;1
Don't Fall Apart On Me Tonight;Infidels;Bob Dylan;1983;;Don't Fall Apart On Me Tonight;Infidels;Bob Dylan;1983;;1;1;1;1
Don't Leave Me Now;Famous Last Words;Supertramp;1982;;Don't Leave Me Now;Famous Last Words;Supertramp;1982;;1;1;1;1
Don't Leave Me Now;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;Don't Leave Me Now;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;1;1;1;1
Don't Leave Me Now;The Very Best Of Supertramp Vol. 2;Supertramp;1992;;Don't Leave Me Now;The Very Best Of Supertramp Vol. 2;Supertramp;1992;;1;1;1;1
Don't Think Twice, It's All Right;The Best Of Bob Dylan;Bob Dylan;1997;;Don't Think Twice, It's All Right;The Best Of Bob Dylan;Bob Dylan;1997;;1;1;1;1
Don't Think Twice,It's All Right (live);Before The Flood;Bob Dylan;1974;;Don't Think Twice,It's All Right (live);Before The Flood;Bob Dylan;1974;;1;1;1;1
Don't Ya Tell Henry;The Basement Tapes;Bob Dylan;1975;;Don't Ya Tell Henry;The Basement Tapes;Bob Dylan;1975;;1;1;1;1
Down Along The Cove;John Wesley Harding;Bob Dylan;1967;;Down Along The Cove;John Wesley Harding;Bob Dylan;1967;;1;1;1;1
Downstream;Even In The Quietest Moments;Supertramp;1977;;Downstream;Even In The Quietest Moments;Supertramp;1977;;1;1;1;1
Downstream;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;Downstream;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;1;1;1;1
