1. Zeile: Hallo
2. Zeile: Ziel
3. Zeile: DateiTitel;Album;Interpret;Jahr
Is Your Love In Vain;Street Legal;Bob Dylan;1978
Isis;Desire;Bob Dylan;1975
It Ain't Me Babe;Another Side Of Bob Dylan;Bob Dylan;1964
It Ain't Me Babe (live);Before The Flood;Bob Dylan;1974
It Ain't Me Babe;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
It Doesn't Matter;Free As A Bird;Supertramp;1987
It Hurts Me Too;Self Portrait;Bob Dylan;1970
It Takes A Lot To Laugh It Takes A Train To Cry;Highway 61 Revisited;Bob Dylan;1965
It's A Hard World;Some Things Never Change;Supertramp;1997
It's A Long Road;Supertramp;Supertramp;1970
It's All Over Now Baby Blue;Bringing It All Back Home;Bob Dylan;1965
It's Alright Ma;Bringing It All Back Home;Bob Dylan;1965
It's Alright,Ma (I'm Only Bleeding) (live);Before The Flood;Bob Dylan;1974
It's Alright;Free As A Bird;Supertramp;1987
It's Raining Again;Breakfast In America;Supertramp;1979
It's Raining Again;Famous Last Words;Supertramp;1982
It's Raining Again;Retrospectacle - The Supertramp Anthology;Supertramp;2005
It's Raining Again;The Very Best Of Supertramp;Supertramp;1990
Jack-A-Roe;World Gone Wrong;Bob Dylan;1993
Jim Jones;Good As I Been To You;Bob Dylan;1992
Joey;Desire;Bob Dylan;1975
John Brown (live);MTV Unplugged;Bob Dylan;1994
John Wesley Harding;John Wesley Harding;Bob Dylan;1967
Jokerman;Infidels;Bob Dylan;1983
Just A Normal Day;Crisis? What Crisis;Supertramp;1975
Just Another Nervous Wreck;Breakfast In America;Supertramp;1979
Just Another Nervous Wreck;The Very Best Of Supertramp Vol. 2;Supertramp;1992
Just Like A Woman (live);Before The Flood;Bob Dylan;1974
Just Like A Woman;Blonde On Blonde;Bob Dylan;1966
Just Like A Woman;The Best Of Bob Dylan;Bob Dylan;1997
Just Like Tom Thumb's Blues;Highway 61 Revisited;Bob Dylan;1965
Katie's Been Gone;The Basement Tapes;Bob Dylan;1975
Knockin' On Heaven's Door (live);Before The Flood;Bob Dylan;1974
Knockin' On Heaven's Door (live);MTV Unplugged;Bob Dylan;1994
Knockin' On Heaven's Door;Pat Garrett And Billy The Kid;Bob Dylan;1973
Knockin' On Heaven's Door;The Best Of Bob Dylan;Bob Dylan;1997
Know Who You Are;Famous Last Words;Supertramp;1982
Lady;Crisis? What Crisis;Supertramp;1975
Lady;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Lady;The Very Best Of Supertramp Vol. 2;Supertramp;1992
Land Ho;Retrospectacle - The Supertramp
