Titel;Album;Interpret;Jahr
Sally Sue Brown;Down In The Groove;Bob Dylan;1988
Tell Me That It Isn't True;Nashville Skyline;Bob Dylan;1969
Take The Long Way Home;Retrospectacle - The Supertramp Anthology;Supertramp;2005
When Did You Leave Heaven;Down In The Groove;Bob Dylan;1988
Easy Does It;Crisis? What Crisis;Supertramp;1975
Lady;Retrospectacle - The Supertramp Anthology;Supertramp;2005
From Now On;Even In The Quietest Moments;Supertramp;1977
School (live);It Was The Best Of Times;Supertramp;1999
Thunder On The Mountain;Modern Times;Bob Dylan;2006
School (live);Paris;Supertramp;1980
Peggy Day;Nashville Skyline;Bob Dylan;1969
School;The Very Best Of Supertramp;Supertramp;1990
From Now On;Breakfast In America;Supertramp;1979
I Threw It All Away;Nashville Skyline;Bob Dylan;1969
Shadow Song;Supertramp;Supertramp;1970
Stuck Inside Of Mobile With The Memphis Blues Again;Blonde On Blonde;Bob Dylan;1966
Til I Fell In Love With You;Time Out Of Mind;Bob Dylan;1997
Floater;Love And Theft;Bob Dylan;2001
Tomorrow Night;Good As I Been To You;Bob Dylan;1992
Two Times Two;Under The Red Sky;Bob Dylan;1990
Born In Time;Under The Red Sky;Bob Dylan;1990
Bloody Well Right (live);Paris;Supertramp;1980
John Wesley Harding;John Wesley Harding;Bob Dylan;1967
Song To Woody;Bob Dylan;Bob Dylan;1962
Step It Up And Go;Good As I Been To You;Bob Dylan;1992
Goodbye Stranger (live);It Was The Best Of Times;Supertramp;1999
I Am A Lonesome Hobo;John Wesley Harding;Bob Dylan;1967
Cannonball;Breakfast In America;Supertramp;1979
Remember;Indelibly Stamped;Supertramp;1971
Can't Wait;Time Out Of Mind;Bob Dylan;1997
Two Soldiers;World Gone Wrong;Bob Dylan;1993
Are You Ready;Saved;Bob Dylan;1980
